Time[s], Í¨µÀ 0
-0.466400, 1
-0.465895, 0
-0.465390, 1
-0.464885, 0
-0.464380, 1
-0.463875, 0
-0.462221, 1
-0.460567, 0
-0.460062, 1
-0.454260, 0
-0.453754, 1
-0.452101, 0
-0.450447, 1
-0.448794, 0
-0.448288, 1
-0.446635, 0
-0.444981, 1
-0.444476, 0
-0.443971, 1
-0.443466, 0
-0.442961, 1
-0.442455, 0
-0.441950, 1
-0.441445, 0
-0.439791, 1
-0.439286, 0
-0.437633, 1
-0.431830, 0
-0.431325, 1
-0.429671, 0
-0.428018, 1
-0.426364, 0
-0.424711, 1
-0.424205, 0
-0.423700, 1
-0.423195, 0
-0.422690, 1
-0.422185, 0
-0.421679, 1
-0.421174, 0
-0.420669, 1
-0.420164, 0
-0.419658, 1
-0.419153, 0
-0.418648, 1
-0.412842, 0
-0.412337, 1
-0.410684, 0
-0.410178, 1
-0.409673, 0
-0.408020, 1
-0.406366, 0
-0.405861, 1
-0.405356, 0
-0.403702, 1
-0.402049, 0
-0.401543, 1
-0.399890, 0
-0.399385, 1
-0.398879, 0
-0.397226, 1
-0.396721, 0
-0.396215, 1
-0.390411, 0
-0.389905, 1
-0.388252, 0
-0.386598, 1
-0.384945, 0
-0.383291, 1
-0.381638, 0
-0.381133, 1
-0.380627, 0
-0.380122, 1
-0.379617, 0
-0.379112, 1
-0.378607, 0
-0.376953, 1
-0.376448, 0
-0.375943, 1
-0.375437, 0
-0.373784, 1
-0.371084, 0
-0.370544, 1
-0.368923, 0
-0.367303, 1
-0.366763, 0
-0.366223, 1
-0.364602, 0
-0.362981, 1
-0.362441, 0
-0.361901, 1
-0.361361, 0
-0.359740, 1
-0.358119, 0
-0.357579, 1
-0.357039, 0
-0.355419, 1
-0.353798, 0
-0.353258, 1
-0.350557, 0
-0.350016, 1
-0.348396, 0
-0.346775, 1
-0.346235, 0
-0.345695, 1
-0.344075, 0
-0.343535, 1
-0.342995, 0
-0.341374, 1
-0.340834, 0
-0.340294, 1
-0.339754, 0
-0.339214, 1
-0.337594, 0
-0.337053, 1
-0.335433, 0
-0.334893, 1
-0.332192, 0
-0.331652, 1
-0.330032, 0
-0.328411, 1
-0.327871, 0
-0.327331, 1
-0.326791, 0
-0.326250, 1
-0.325711, 0
-0.325170, 1
-0.323550, 0
-0.321930, 1
-0.321390, 0
-0.320849, 1
-0.320309, 0
-0.319769, 1
-0.319229, 0
-0.318689, 1
-0.315989, 0
